class,gap,method,n,mean_err_cm,median_err_cm,clip
orange_ball,1,hold,221,1.17,0.62,IMG_9933_min1
orange_ball,1,kalman,221,1.41,0.65,IMG_9933_min1
orange_ball,1,linear,221,1.7,0.92,IMG_9933_min1
orange_ball,2,hold,442,1.43,0.69,IMG_9933_min1
orange_ball,2,kalman,442,1.67,0.79,IMG_9933_min1
orange_ball,2,linear,442,2.4,1.23,IMG_9933_min1
orange_ball,3,hold,663,1.56,0.74,IMG_9933_min1
orange_ball,3,kalman,663,1.83,0.85,IMG_9933_min1
orange_ball,3,linear,663,3.04,1.45,IMG_9933_min1
orange_ball,5,hold,1105,1.77,0.83,IMG_9933_min1
orange_ball,5,kalman,1105,2.16,1.01,IMG_9933_min1
orange_ball,5,linear,1105,4.23,1.93,IMG_9933_min1
orange_ball,8,hold,1760,1.97,0.9,IMG_9933_min1
orange_ball,8,kalman,1760,2.59,1.2,IMG_9933_min1
orange_ball,8,linear,1760,5.97,2.63,IMG_9933_min1
orange_ball,12,hold,2640,2.07,0.94,IMG_9933_min1
orange_ball,12,kalman,2640,2.98,1.42,IMG_9933_min1
orange_ball,12,linear,2640,8.22,3.58,IMG_9933_min1
robot,1,hold,649,1.11,0.56,IMG_9933_min1
robot,1,kalman,649,1.71,0.74,IMG_9933_min1
robot,1,linear,649,1.71,0.83,IMG_9933_min1
robot,2,hold,1286,1.47,0.6,IMG_9933_min1
robot,2,kalman,1286,1.89,0.86,IMG_9933_min1
robot,2,linear,1286,2.56,1.08,IMG_9933_min1
robot,3,hold,1917,1.62,0.67,IMG_9933_min1
robot,3,kalman,1917,2.01,0.9,IMG_9933_min1
robot,3,linear,1917,3.24,1.35,IMG_9933_min1
robot,5,hold,3135,1.79,0.75,IMG_9933_min1
robot,5,kalman,3135,2.19,0.96,IMG_9933_min1
robot,5,linear,3135,4.43,1.77,IMG_9933_min1
robot,8,hold,4952,2.08,0.84,IMG_9933_min1
robot,8,kalman,4952,2.52,1.05,IMG_9933_min1
robot,8,linear,4952,6.35,2.39,IMG_9933_min1
robot,12,hold,7284,2.25,0.91,IMG_9933_min1
robot,12,kalman,7284,2.8,1.15,IMG_9933_min1
robot,12,linear,7284,8.61,3.21,IMG_9933_min1
orange_ball,1,hold,68,26.19,0.27,IMG_9938_min1
orange_ball,1,kalman,68,61.72,1.95,IMG_9938_min1
orange_ball,1,linear,68,29.48,0.21,IMG_9938_min1
orange_ball,2,hold,134,27.69,0.34,IMG_9938_min1
orange_ball,2,kalman,134,62.53,1.98,IMG_9938_min1
orange_ball,2,linear,134,31.61,0.33,IMG_9938_min1
orange_ball,3,hold,198,30.45,0.43,IMG_9938_min1
orange_ball,3,kalman,198,65.54,2.27,IMG_9938_min1
orange_ball,3,linear,198,35.39,0.4,IMG_9938_min1
orange_ball,5,hold,320,43.43,0.59,IMG_9938_min1
orange_ball,5,kalman,320,77.38,2.91,IMG_9938_min1
orange_ball,5,linear,320,50.94,0.64,IMG_9938_min1
orange_ball,8,hold,496,51.89,1.05,IMG_9938_min1
orange_ball,8,kalman,496,87.86,3.83,IMG_9938_min1
orange_ball,8,linear,496,63.99,1.17,IMG_9938_min1
orange_ball,12,hold,684,68.23,1.98,IMG_9938_min1
orange_ball,12,kalman,684,83.41,6.16,IMG_9938_min1
orange_ball,12,linear,684,88.3,1.99,IMG_9938_min1
robot,1,hold,553,8.79,0.56,IMG_9938_min1
robot,1,kalman,553,49.78,7.58,IMG_9938_min1
robot,1,linear,553,13.19,0.43,IMG_9938_min1
robot,2,hold,1090,11.23,0.82,IMG_9938_min1
robot,2,kalman,1090,51.58,8.24,IMG_9938_min1
robot,2,linear,1090,18.48,0.66,IMG_9938_min1
robot,3,hold,1623,17.39,1.11,IMG_9938_min1
robot,3,kalman,1623,57.17,8.64,IMG_9938_min1
robot,3,linear,1623,27.74,1.04,IMG_9938_min1
robot,5,hold,2645,18.19,1.72,IMG_9938_min1
robot,5,kalman,2645,57.32,9.39,IMG_9938_min1
robot,5,linear,2645,34.62,1.83,IMG_9938_min1
robot,8,hold,4104,22.66,2.87,IMG_9938_min1
robot,8,kalman,4104,59.77,11.91,IMG_9938_min1
robot,8,linear,4104,48.63,3.46,IMG_9938_min1
robot,12,hold,5928,30.39,4.7,IMG_9938_min1
robot,12,kalman,5928,64.0,13.82,IMG_9938_min1
robot,12,linear,5928,69.94,6.66,IMG_9938_min1
orange_ball,1,hold,108,0.71,0.26,IMG_9933_5m30
orange_ball,1,kalman,108,1.1,0.63,IMG_9933_5m30
orange_ball,1,linear,108,0.89,0.32,IMG_9933_5m30
orange_ball,2,hold,210,0.92,0.36,IMG_9933_5m30
orange_ball,2,kalman,210,1.19,0.67,IMG_9933_5m30
orange_ball,2,linear,210,1.24,0.48,IMG_9933_5m30
orange_ball,3,hold,315,1.1,0.54,IMG_9933_5m30
orange_ball,3,kalman,315,1.32,0.72,IMG_9933_5m30
orange_ball,3,linear,315,1.63,0.7,IMG_9933_5m30
orange_ball,5,hold,510,1.39,0.7,IMG_9933_5m30
orange_ball,5,kalman,510,1.64,0.86,IMG_9933_5m30
orange_ball,5,linear,510,2.4,1.05,IMG_9933_5m30
orange_ball,8,hold,784,1.67,0.8,IMG_9933_5m30
orange_ball,8,kalman,784,2.02,1.09,IMG_9933_5m30
orange_ball,8,linear,784,3.36,1.43,IMG_9933_5m30
orange_ball,12,hold,1128,1.93,0.88,IMG_9933_5m30
orange_ball,12,kalman,1128,2.33,1.25,IMG_9933_5m30
orange_ball,12,linear,1128,4.57,1.93,IMG_9933_5m30
robot,1,hold,603,1.29,0.88,IMG_9933_5m30
robot,1,kalman,603,3.49,2.62,IMG_9933_5m30
robot,1,linear,603,1.39,0.63,IMG_9933_5m30
robot,2,hold,1196,1.68,1.15,IMG_9933_5m30
robot,2,kalman,1196,3.78,2.87,IMG_9933_5m30
robot,2,linear,1196,2.01,1.02,IMG_9933_5m30
robot,3,hold,1758,2.05,1.37,IMG_9933_5m30
robot,3,kalman,1758,4.08,2.98,IMG_9933_5m30
robot,3,linear,1758,2.6,1.34,IMG_9933_5m30
robot,5,hold,2895,2.77,1.85,IMG_9933_5m30
robot,5,kalman,2895,4.68,3.35,IMG_9933_5m30
robot,5,linear,2895,3.86,2.02,IMG_9933_5m30
robot,8,hold,4552,3.69,2.38,IMG_9933_5m30
robot,8,kalman,4552,5.49,3.65,IMG_9933_5m30
robot,8,linear,4552,5.89,3.06,IMG_9933_5m30
robot,12,hold,6588,4.59,2.88,IMG_9933_5m30
robot,12,kalman,6588,6.46,4.05,IMG_9933_5m30
robot,12,linear,6588,8.53,4.51,IMG_9933_5m30
